"award_name","award_family","purpose","category_specific_eligibility_and_disqualifiers","required_platform_store_sdk_service_account_or_release","required_submission_evidence","ordered_judging_criteria","tie_break_implication","judge_observable_proof","unique_effort_or_dependency","influencer_coexistence","confidence","sources"
"Nutrition & Healthy Eating — Abbey's Kitchen Influencer Award","Influencer","Help people make meals more satisfying through flexible, compassionate support without calorie counting, macro tracking, or restrictive plans.","All global gates apply. A project may enter only one Influencer Award. Do not use the influencer's identity, brand, voice, image, or likeness without written permission.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","State this Influencer category and explain how the app serves the audience; demonstrate practical meal support and the absence of calorie, macro, or restrictive-plan mechanics.","1 Practical nutrition support | 2 Compassionate flexibility | 3 Usefulness","A tie goes first to practical support, then compassionate flexibility, then usefulness.","Real-life meal guidance that is additive and flexible, non-restrictive language, and a useful next action.","Qualified nutrition review, eating-disorder-safe language, allergy and medical boundaries, cultural flexibility, and trustworthy content.","No second Influencer Award; yes to eligible non-Influencer awards.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/abbey-sharp"
"Career Coaching — Leadership Heather Influencer Award","Influencer","Help new managers practise difficult workplace conversations, receive useful feedback, and build confidence before the real situation.","All global gates apply. A project may enter only one Influencer Award. Do not use the influencer's identity, brand, voice, image, or likeness without written permission.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","State this Influencer category and explain how the app serves new managers; show realistic practice for feedback, boundaries, and saying no, plus actionable feedback.","1 Realistic scenarios | 2 Active practice and useful feedback | 3 Confidence building","A tie goes first to scenario realism, then practice/feedback, then confidence.","A believable conversation, active rehearsal, specific feedback tied to the user's words or choices, and a safe confidence-building progression.","Scenario authoring, HR and cultural review, speech or AI evaluation quality, privacy, bias, and careful limits on workplace advice.","No second Influencer Award; yes to eligible non-Influencer awards.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/leadership-heather"
"Gaming — Mr Lewis Blogs Gaming Influencer Award","Influencer","Create an enjoyable gaming bucket list that makes discovery, organization, completion, rating, and sharing easy.","All global gates apply. A project may enter only one Influencer Award. Do not use the influencer's identity, brand, voice, image, or likeness without written permission.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads; lawful game metadata source.","State this Influencer category and explain how the app serves the audience; show save-at-discovery, backlog organization, completion, rating, and sharing.","1 Discovery and organization | 2 Completion and sharing | 3 Enjoyment","A tie goes first to discovery and organization, then completion/sharing, then enjoyment.","A game can be captured when discovered, organized without work, marked complete, rated, and shared; backlog management feels playful.","Game database licensing, share extensions or deep links from discovery channels, metadata quality, and a non-choresome interaction model.","No second Influencer Award; yes to eligible non-Influencer awards.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/lewis-blogs"
"Yoga & Fitness — Simone Sharice Influencer Award","Influencer","Turn a user's movement, Pilates, recovery, and wellness needs into one clear, achievable plan for today.","All global gates apply. A project may enter only one Influencer Award. Do not use the influencer's identity, brand, voice, image, or likeness without written permission.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","State this Influencer category and explain how the app serves the audience; demonstrate personalization, today's plan, and information restraint.","1 Personalization | 2 Daily clarity | 3 Information restraint","A tie goes first to personalization, then daily clarity, then information restraint.","Inputs meaningfully change today's safe plan; the next action is obvious; the user is not overloaded.","Movement content, safety review, personalization inputs, recovery boundaries, accessibility, and daily plan generation quality.","No second Influencer Award; yes to eligible non-Influencer awards.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/simone-sharice"
"Ship Kotlin Everywhere (JetBrains)","Sponsored","Recognize a creative, polished, high-quality app built for both iOS and Android with Kotlin Multiplatform, Compose Multiplatform, or both.","All global gates apply. Both iOS and Android builds must be published. Optional community sharing and ecosystem contribution can add judging value.","Kotlin Multiplatform and/or Compose Multiplatform; live Apple App Store URL and Google Play URL; RevenueCat purchase integration or RevenueCat Ads.","Explain KMP/CMP use; provide both store URLs; link public build content; if claiming a contribution, link the library, pull request, documentation, sample, tool, or reusable component.","1 Cross-platform quality | 2 Community interaction, optional | 3 Contribution to the community, optional","A tie goes first to cross-platform quality. Optional community interaction and contribution resolve later ties if scored.","Stable, polished, consistent experiences on both platforms; effective sharing with native seams where needed; useful build content or contribution if claimed.","Dual store review, two-platform QA, KMP/CMP expertise, native interoperability, and time for optional public contribution.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/ship-kotlin-everywhere"
"Most Viral App (Noise)","Sponsored","Reward an app that captures attention through high-quality, repeatable content that converts into downloads.","All global gates apply. The app must be live and Noise must be used to promote and grow it during the event.","Live eligible app; Noise account and promotion; RevenueCat purchase integration or RevenueCat Ads.","Live app URL and the email associated with the Noise account; retain creative examples and conversion evidence even though the rules list only those two required fields.","1 Virality | 2 Scalability | 3 Conversion relevance","A tie goes first to virality, then repeatability at scale, then how clearly creatives convey value and convert relevant attention.","One or more viral or semi-viral posts, a repeatable creative or UGC playbook, clear value communication, and evidence connecting attention to downloads.","Noise workflow, content production volume, attribution, creative testing, permissions for UGC, and enough launch time to iterate.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/most-viral-app"
"Best App for Galaxy (Samsung Galaxy)","Sponsored","Recognize a high-quality Galaxy Store app with thoughtful Samsung ecosystem optimization.","All global gates apply. Publish on the Galaxy Store during Shipaton 2026 and follow Galaxy Store content rules. Galaxy exclusivity is optional bonus consideration.","Live Samsung Galaxy Store listing; RevenueCat purchase integration or RevenueCat Ads; Galaxy-specific testing.","Galaxy Store URL and an explanation of foldable support, Samsung-specific features, device optimization, and store-listing work.","80% standard applicable Shipaton criteria | 20% Galaxy optimization covering Samsung-specific features, foldables, multi-window, device-specific hardware, and Galaxy Store quality | Exclusivity bonus","Apply the standard applicable criteria in their existing order to 80% of the score. Galaxy optimization supplies 20%. Exclusivity can add bonus consideration but is not required.","A polished Galaxy build and listing, foldable or multi-window behavior where relevant, device performance, and Samsung-specific value.","Galaxy Store account and review, Samsung hardware coverage, foldable and multi-window QA, store assets, and possible exclusivity tradeoff.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | builder clarification August 8, 2026 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/best-app-for-galaxy"
"Idea to Income (Replit)","Sponsored","Reward a Replit-built app that moves from a new idea to a live, monetizing product with returning payers and growing transactions.","All global gates apply. Build and publish with Replit, and integrate RevenueCat using Replit Agent.","Live mobile app; Replit project and preview; Replit Agent RevenueCat integration; RevenueCat transactions.","At least three public posts showing different build stages; Replit preview URL and username; explain how Replit took the app from idea to a live monetizing product.","1 Growth momentum, primary | 2 Traction | 3 Craft | 4 Social pull","A tie goes first to week-over-week revenue and transaction trajectory, then gross revenue/payers, craft, and community buzz.","Returning paying users, consistent weekly transaction and revenue growth, a complete polished product, and a public build story.","Replit implementation constraints, clean RevenueCat integration, early launch, cohort and transaction instrumentation, and at least three public artifacts.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/replits-idea-to-income"
"Keep Them Coming Back Award (OneSignal)","Sponsored","Reward a thoughtful messaging experience that gives users a valuable reason to return.","All global gates apply. Publish a live app, integrate OneSignal, and deploy at least one campaign through the API, MCP, or dashboard.","Working OneSignal integration and deployed campaign; OneSignal App ID; RevenueCat purchase integration or RevenueCat Ads.","OneSignal App ID and an explanation of the campaign or messaging experience. Preserve screenshots, segments, deep links, outcomes, and fatigue controls as proof.","1 Implementation | 2 User value | 3 Resourcefulness and creativity, including less-common or advanced features","A tie goes first to implementation quality, then user value, then creative depth.","A working message or Journey tied to a useful product moment, correct deep link and state handling, respectful timing, and measured outcome.","Permission timing, segmentation, campaign QA, deep linking, notification fatigue, privacy, and stable event or outcome instrumentation.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/keep-them-coming-back-award"
"The Growth Loop Award (Layers)","Sponsored","Reward disciplined growth testing, measurement, learning, and iteration rather than the largest audience.","All global gates apply. Install and verify the Layers SDK before judging.","Layers SDK in the submitted app; observable event or response signal; RevenueCat purchase integration or RevenueCat Ads.","Explain Layers usage and verification; define the audience, message, channel or surface, experiment, and intended outcome; report the signal, learning, and next test.","1 Audience and growth hypothesis | 2 Layers-assisted growth loop | 3 SDK installation and observability | 4 Learning and iteration","A tie goes first to audience and hypothesis clarity, then loop design, observability, and learning.","A specific audience, testable reason to care, focused experiment, verifiable signal, honest learning, and a credible next iteration.","SDK installation, event design, experiment logging, attribution, and enough time to observe and change the loop.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/growth-loop-award"
"Funnel Vision Award (Stripe)","Sponsored","Recognize a high-volume, well-designed web-to-app purchase funnel using RevenueCat Funnels and Stripe.","All global gates apply. Launch a live web-to-app funnel using RevenueCat Funnels with Stripe as checkout.","RevenueCat Funnels; Stripe checkout; live web funnel; Stripe Project ID; app entitlement handoff; eligible app release.","Live funnel URL and Stripe Project ID; preserve proof of the ad-click-to-checkout-to-download-to-entitlement path and qualifying payment volume.","1 Web payment volume, primary | 2 Funnel design and conversion","A tie goes first to payment volume, then funnel design and conversion.","A functional, polished flow from acquisition through Stripe web checkout to app download, entitlement recognition, and first value, with conversion and volume evidence.","Web acquisition, Stripe and Funnel setup, identity and entitlement handoff, attribution, refunds and support, mobile deep links, and conversion optimization.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/funnel-vision-award"
