source_id,concept,page_title,url,published_or_observed_date,source_kind,source_tier,current_or_historical,claim_status,material_use,confidence,fallback_record
"R6-015","C04","ClarAccord — Conversation Receipts & Client Sign-Off","https://claraccord.com/","2026-08-10 observed","current competitor site","C","current","described","Near-exact substitute: voice, WhatsApp, or Zoom becomes an AI-structured scope receipt with no-account OTP client sign-off; five free receipts and $29 per month are shown.","high for product shape; low for legal and performance claims","Exa discovery and full-text fetch. Binding, UETA, security, and savings claims remain vendor claims."
"R6-016","C05","Client Voice Intake & Brief Generator","https://vocaljet.com/","2026-08-10 observed","current competitor site","C","current","described","Exact substitute: a no-account client voice link returns transcript, brief, scope risks, action items, and follow-up text.","high for product shape","Exa discovery and full-text fetch."
"R6-017","C04","Pricing | ThreadRecap","https://www.threadrecap.com/en/pricing","2026-08-10 observed","current competitor pricing","C","current","observed and described","Shows five free credits, usage packs, a $15 monthly plan, audio-based charging, and local chat parsing with optional voice transcription.","medium-high","Exa discovery and full-text fetch; vendor feature and privacy claims are not independently verified."
"R6-018","C04","WhatsApp Evidence for Freelancer & Client Disputes","https://www.threadrecap.com/en/whatsapp-evidence-freelancer-client","2026-04-18 updated","current competitor site","C","current","described","A second close substitute turns exported chats into source-linked scope, payment, approval, and deadline evidence.","high for product shape","Exa discovery and full-text fetch; admissibility and legal-effect claims require counsel."
"R6-019","C07","Tody - Make peace with your cleaning routine","https://todyapp.com/","2024-04-30; current observed 2026-08-10","current competitor site","C","current","described","Tody offers a mascot, monthly challenges, gamification, assignments, rotations, household sync, and premium from $9.99 per year.","high for product and price display","Exa discovery and full-text fetch; ratings and benefits are vendor-presented."
"R6-020","C07","Nipto | Split Household Chores","https://nipto.app/","2026-08-10 observed","current competitor site","C","current","described","Nipto uses chore points, team scores, weekly leaderboards, rewards, household sync, and advanced statistics.","high for product shape","Exa discovery and full-text fetch; testimonial outcomes are not independent measurements."
"R6-021","C07","Sweepy: Home Cleaning Schedule","https://sweepy.com/","2026-08-10 observed","current competitor site","C","current","described","Sweepy combines task suggestions, smart scheduling, points, streaks, household sharing, and a leaderboard.","high for product shape","Exa discovery and full-text fetch."
"R6-022","C07","FairPlay - Split chores fairly, as a couple","https://fairplaycouple.app/","2026-08-10 observed","current competitor site","C","current","described","A very close substitute turns chores and mental load into cards, Do/Think/Plan points, a two-person balance, and a weekly check-in; it lists $49.99 yearly and $6.99 weekly.","high for product and price display","Exa discovery and full-text fetch; benefit claims are vendor claims."
"R6-023","C07","The Fair Play Method: Can We Solve for the Unequal Division of Domestic Labor?","https://public-exchange.org/usc/wp-content/uploads/sites/2/2025/09/PX_FairPlay-Final-Report_Dec2024-2.pdf","2024-12 final report; posted 2025","research report","C-primary research","current","measured","More than 500 primarily maternal participants showed unequal planning burden; intervention completion was associated with more equitable division, but only 26% of invited participants completed all modules.","medium-high","Exa full-text PDF extraction; partnership and attrition limit causal and generalizable claims."
"R6-024","C07","The Cognitive Dimension of Household Labor","https://sage.cnpereading.com/doi/10.1177/0003122419859007","2019-08","peer-reviewed qualitative study","C-primary research","current","measured","Seventy interviews with 35 couples identify anticipation, option identification, decision, and monitoring as distinct cognitive labor.","high","Exa full-text abstract extraction; inherited from Run 5."
"R6-025","C07","Chore apps were meant to make mothers' lives easier. They often don't.","https://www.technologyreview.com/2022/05/10/1051954/chore-apps/","2022-05-10","reported interviews and analysis","C","current","described","Reports that delegation apps can add administration to the already overloaded partner and that participation by the less-engaged partner remains the hard adoption problem.","medium-high","Exa full-text fetch; anecdotes do not establish prevalence."
"R6-026","C07","Wordle","https://help.nytimes.com/hc/en-us/articles/24611727334932-Wordle","2026-08-10 observed","official product help","B-primary product","current","observed","Wordle provides a post-result share action and compact result representation; the product also offers high-contrast and input-accessibility settings.","high","Exa discovery and full-text fetch."
"R6-027","C07","2025 Wrapped Is Here With More Layers, Stories, and Connection Than Ever Before","https://newsroom.spotify.com/2025-12-03/2025-wrapped-user-experience/","2025-12-03","official product announcement","B-primary product","current","observed and described","Spotify turns accumulated behavior into finite personalized stories with share cards and user-controlled sharing.","high for product shape","Exa discovery and full-text fetch."
"R6-028","C07","Edit Map Visibility","https://support.strava.com/en-us/articles/15402012-edit-map-visibility","2026-08-10 current page","official product help","B-primary product","current","observed","Strava gives default and per-activity map redaction controls while warning that hidden locations may still be inferred.","high","Exa discovery and full-text fetch."
"R6-029","C12","Caregivers - ianacare","https://ianacare.com/caregivers/","2023-12-01; current observed 2026-08-10","current competitor site","C","current","described","ianacare already coordinates appointments, meals, rides, shifts, communication, delegation, and team support.","high for product shape","Exa discovery and full-text fetch."
"R6-030","C12","How much does ianacare cost?","https://support.ianacare.com/hc/en-us/articles/35224684278541-How-much-does-ianacare-cost","2026-08-10 observed","official competitor help","B-primary product","current","observed","The Caregiver Organizer is free; additional services are supplied through employers, health plans, and organizations.","high","Exa discovery and full-text fetch."
"R6-031","C12","Lotsa Helping Hands","https://lotsahelpinghands.com/","2026-08-10 observed","current competitor site","C","current","described","Lotsa already provides a free care calendar, volunteer sign-up, announcements, encouragement, and photos.","high for product shape","Exa discovery and full-text fetch."
"R6-032","C12","Lotsa Helping Hands - How It Works","https://lotsahelpinghands.com/how-it-works","2026-08-10 observed","current competitor help","B-primary product","current","observed and described","Care teams can post specific requests, receive volunteer commitments, send reminders, and add multiple coordinators at no cost.","high for product shape","Exa discovery and full-text fetch."
"R6-033","C13+C14+C15","Focusmate—Virtual body doubling for getting anything done","https://www.focusmate.com/","2021-12-17; current observed 2026-08-10","current competitor site","C","current","described and measured by vendor","Focusmate offers scheduled 25-, 50-, and 75-minute matched video sessions and reports more than 12 million completed sessions.","high for product shape; medium-low for vendor metrics","Exa discovery and full-text fetch."
"R6-034","C13+C14+C15","Pricing | Focusmate","https://www.focusmate.com/pricing/","2023-09-03; current observed 2026-08-10","current competitor pricing","C","current","observed","Three sessions per week are free; unlimited use is listed at $8 monthly billed annually or $12 monthly.","high","Exa discovery and full-text fetch."
"R6-035","C13+C14+C15","Just Start — ADHD Focus Timer for iOS","https://getjuststart.app/","2026-03-13","current competitor site","C","current","described","A close competitor combines AI micro-steps, body doubling, an adaptive timer, focus garden, XP, streaks, widgets, and $7.99 monthly or $49.99 annual pricing.","high for product and price display","Exa discovery and full-text fetch; efficacy claims are not independently measured."
"R6-036","C13+C14+C15","JustStart: ADHD Planner","https://apps.apple.com/us/app/juststart-adhd-planner/id6761158418","2026-08-10 observed","current store listing","B-primary product","current","observed and described","A separate same-name App Store product offers task breakdown, body doubling, next-step widgets, forgiving streaks, and $4.99 monthly or $29.99 annual purchases.","high for listing facts","Exa discovery and full-text fetch. The seller and prices conflict with R6-035, indicating two products rather than one verified identity."
"R6-037","C13+C14+C15","A Roadmap of Mixed Reality Body Doubling for Adults with ADHD","https://arxiv.org/html/2605.07851","2026-05-08","research preprint","C-primary research","current","measured and inferred","The framework identifies task initiation, accountability, motivation, structure, and emotion regulation as reported motives while emphasizing limited empirical efficacy research.","medium","Exa discovery and full-text fetch; preprint with no citations at observation."
"R6-038","C13+C14+C15","Not Just Me and My To-Do List","https://arxiv.org/html/2603.17258","2026-03-18","research preprint","C-primary research","current","measured","Twenty-two interviews and a 20-person concept speed-date support relational and emotional scaffolds while leaving real-world efficacy unresolved.","medium","Exa discovery and full-text fetch; preprint and self-identified participant sample."
"R6-039","C13+C14+C15|C21","Task interruption: Resumption lag and the role of cues","https://www.interruptions.net/literature/Altmann-CogSci04.pdf","2004","experimental research paper","C-primary research","current mechanism evidence","measured","In the laboratory task, resumption lag was about double the uninterrupted action interval and cues available before interruption reduced the lag under some conditions.","medium-high for mechanism; low for direct product effect","Exa discovery and full-text PDF extraction. The task and sample do not validate a mobile product."
"R6-040","C18","Bearable Symptom Tracker App","https://bearable.app/","2019-08-05; current observed 2026-08-10","current competitor site","C","current","described","Bearable already offers customizable symptom, mood, sleep, treatment, and activity tracking plus correlations, reports, experiments, and a $34.99 annual tier.","high for product and displayed price","Exa discovery and full-text fetch; outcome metrics and testimonials are vendor claims."
"R6-041","C18","Plans & Pricing - Guava","https://guavahealth.com/plans","2026-08-10 observed","current competitor pricing","C","current","observed and described","Guava's free tier includes tracking, summaries, trends, correlations, records, and device/portal sync; premium is $78 yearly or $8 monthly.","high for product and price display","Exa discovery and full-text fetch."
"R6-042","C18","Health Insights - Guava","https://guavahealth.com/health-insights","2026-08-10 observed","current competitor site","C","current","described","Guava runs user-selected and automatic correlations and explicitly warns that correlation is not causation.","high for product shape","Exa discovery and full-text fetch; user stories are testimonials."
"R6-043","C18","Visible - Activity tracking for illness, not fitness","https://www.makevisible.com/","2026-08-10 observed","current competitor site","C","current","described","Visible combines a wearable, energy budgeting, alerts, activity impact, trends, medication and symptom tracking, and personalized pacing insights.","high for product shape","Exa discovery and full-text fetch; reported member percentages are vendor metrics with unknown methodology."
"R6-044","C18","Daylio - Journal, Diary and Mood Tracker","https://daylio.net/","2026-08-10 observed","current competitor site","C","current","described and vendor-measured","Daylio offers two-tap mood/activity entries, correlations, goals, achievements, shareable yearly views, privacy controls, and reports; it claims 20 million users.","high for product shape; medium-low for vendor metric","Exa discovery and full-text fetch."
"R6-045","C21","Long-Term Memory (LTM-2.7)","https://docs.pieces.app/products/desktop/long-term-memory","2026-08-10 observed","official product documentation","B-primary product","current","observed and described","Pieces automatically captures local workflow context across clipboard, screen, audio, and apps, then provides timeline, summaries, and retrieval.","high for product shape","Exa discovery and full-text fetch; privacy and performance are vendor statements."
"R6-046","C21","About GitHub Copilot Spaces","https://docs.github.com/en/copilot/concepts/context/spaces","2026-08-10 observed","official product documentation","B-primary product","current","observed","Copilot Spaces organizes repositories, code, issues, notes, images, and files as persistent, shareable project context and is available with Copilot Free licenses.","high","Exa discovery and full-text fetch."
"R6-047","C21","About GitHub Copilot Memory","https://docs.github.com/en/copilot/concepts/agents/copilot-memory","2026-08-10 observed","official product documentation","B-primary product","current","observed","Public-preview memory stores cited repository facts and user preferences to reduce repeated context setup.","high","Exa discovery and full-text fetch; preview functionality can change."
