"id","area","url","page_title","publication_or_observed_date","source_tier","time_status","claim_status","confidence","material_use","fallback"
"R7-036","Google subscription policy","https://support.google.com/googleplay/android-developer/answer/9900533","Subscriptions","Observed 2026-08-10","A","current official policy","observed","high","Subscription terms must be transparent and the product must deliver sustained or recurring value rather than a disguised one-time benefit.","None; Exa full-text extraction"
"R7-037","push prompt","https://documentation.onesignal.com/docs/en/prompt-for-push-permissions","Prompt for push permissions","Observed 2026-08-10","A","current official sponsor guidance","observed","high","OneSignal recommends a value-led soft prompt after a relevant user action and warns against first-open prompting.","None; Exa full-text extraction"
"R7-038","Google Play listing","https://support.google.com/googleplay/android-developer/answer/13393723?hl=en","Best practices for your store listing","Observed 2026-08-10","A","current official policy","observed","high","Listings should be accurate, succinct, benefit-led, and supported by representative screenshots and assets.","None; Exa full-text extraction"
"R7-039","Apple product page","https://developer.apple.com/app-store/product-page/","Creating your product page","Observed 2026-08-10","A","current official guidance","observed","high","Product-page metadata and the first screenshots should communicate the app's purpose and quality clearly.","None; Exa full-text extraction"
"R7-040","recommended flow","","Analyst synthesis","2026-08-10","D","current inference","inferred","medium","Capture-first is the strongest flow because it preserves external context, supports rescue when capture fails, delays notification permission, and produces a judge-observable before/after.","No external fallback; derived from R7-001 and R7-004 through R7-039"
"R7-041","Android lock-screen widgets","https://android-developers.googleblog.com/2025/03/widgets-on-lock-screen-faq.html","Widgets on lock screen: FAQ","2025-03-01; observed 2026-08-10","A","current official guidance","observed","medium-high","Official metadata and indexed FAQ content describe keyguard widgets for AOSP tablets and mobile after Android 16 QPR1, with OEM-controlled presentation and normal widget-quality requirements.","Exa found the page but full-text fetch returned only the shell. Firecrawl was attempted and returned metadata plus a blocked-body shell. Material claims were cross-checked against the Android API reference and indexed FAQ passages."
"R7-042","Android keyguard widget API","https://developer.android.com/reference/kotlin/android/appwidget/AppWidgetProviderInfo","AppWidgetProviderInfo","Observed 2026-08-10","A","current official API","observed","high","WIDGET_CATEGORY_KEYGUARD marks a widget as displayable on keyguard; widgetCategory can cover home, keyguard, or both, and the widget must adapt to each host.","None; Exa full-text extraction"
"R7-043","Android locked activity","https://developer.android.com/reference/android/app/Activity#setShowWhenLocked(boolean)","Activity.setShowWhenLocked","Observed 2026-08-10","A","current official API","observed","high","An activity can request to appear over keyguard without dismissing it; sensitive data and authentication behavior remain the app's responsibility.","None; Exa full-text extraction"
"R7-044","Android microphone foreground service","https://developer.android.com/develop/background-work/services/fgs/restrictions-bg-start","Restrictions on starting a foreground service from the background","Observed 2026-08-10","A","current official guidance","observed","high","Widget and notification interactions are explicit exemptions that can start a foreground service with while-in-use microphone access when prerequisites are met.","None; Exa discovery and full-text extraction"
"R7-045","Android microphone service type","https://developer.android.com/develop/background-work/services/fgs/service-types#microphone","Foreground service types — microphone","Observed 2026-08-10","A","current official guidance","observed","high","Microphone continuation requires the microphone foreground-service type, FOREGROUND_SERVICE_MICROPHONE, RECORD_AUDIO, and a visible foreground-service notification.","None; Exa full-text extraction"
"R7-046","Android audio capture","https://developer.android.com/media/platform/mediarecorder","MediaRecorder overview","Observed 2026-08-10","A","current official guidance","observed","high","Android provides MediaRecorder for local microphone capture and requires explicit RECORD_AUDIO permission; real-device testing is required because the emulator cannot record audio.","None; Exa full-text extraction"
"R7-047","Android speech recognition","https://developer.android.com/reference/android/speech/SpeechRecognizer","SpeechRecognizer","Observed 2026-08-10","A","current official API","observed","high","Android exposes normal and on-device recognizers; the normal implementation may stream audio to remote servers, requires RECORD_AUDIO, and is not intended for continuous recognition.","None; Exa full-text extraction"
"R7-048","Samsung locked voice capture","https://www.samsung.com/ae/support/mobile-devices/how-to-record-a-voice-note-from-the-lock-screen/","How to record a voice note from the lock screen","2024-09-28; observed 2026-08-10","A","current official product guidance","observed","high","Samsung's own Voice Recorder widget can begin recording directly from a Galaxy lock screen without unlocking.","None; Exa full-text extraction"
"R7-049","Samsung lock-screen widgets","https://www.samsung.com/us/support/answer/ANS10000945/","Add, customize, and use widgets on Galaxy phones","Observed 2026-08-10","A","current official product guidance","observed","high","Galaxy supports home and lock-screen widgets, but available widgets and actions vary; the page does not guarantee arbitrary third-party no-unlock microphone actions.","None; Exa full-text extraction"
"R7-050","Samsung Now Bar","https://www.samsung.com/hk_en/support/mobile-devices/how-to-use-the-now-bar-on-the-lock-screen-of-your-samsung-galaxy-device/","How to use the Now bar on the lock screen of your Samsung Galaxy device","2026-04-17","A","current official product guidance","observed","high","Now Bar can control supported active recording and other activities while locked, but depends on compatible apps, devices, regions, and lock-screen notification settings.","None; Exa full-text extraction"
"R7-051","Samsung Side button","https://www.samsung.com/in/support/mobile-devices/how-to-customise-the-side-button-with-new-features-on-your-galaxy-phone-and-tablet/","How to customise the Side button with new features","2025-08-19; observed 2026-08-10","A","current official product guidance","observed","medium-high","Compatible Galaxy devices can assign double press to apps or supported in-app actions including Samsung voice recording; third-party Restart Thread behavior while locked remains unproven.","None; Exa full-text extraction"
"R7-052","Apple system controls","https://developer.apple.com/videos/play/wwdc2024/10157/","Extend your app's controls across the system","2024-06-11","A","current official guidance","observed","high","ControlWidget buttons and toggles can appear in Control Center, the Lock Screen, and the Action button and execute App Intents.","None; Exa full-text extraction"
"R7-053","Apple audio recording intent","https://developer.apple.com/documentation/appintents/audiorecordingintent","AudioRecordingIntent","Observed 2026-08-10","A","current official API","observed","high","AudioRecordingIntent identifies an App Intent that starts, stops, or modifies audio recording and causes the system to show a recording indicator.","None; Exa full-text extraction"
"R7-054","Apple control privacy","https://developer.apple.com/documentation/WidgetKit/Adding-refinements-and-configuration-to-controls","Adding refinements and configuration to controls","Observed 2026-08-10","A","current official guidance","observed","high","Controls can require authentication and redact privacy-sensitive state while the device is unauthenticated.","None; Exa full-text extraction"
"R7-055","Apple intent design","https://developer.apple.com/videos/play/wwdc2024/10176/","Design App Intents for system experiences","2024-06-12","A","current official guidance","observed","high","Apple describes App Intents for system surfaces and calls out background audio recording as a simple action that can occur outside the app.","None; Exa full-text extraction"
"R7-056","Apple on-device speech availability","https://developer.apple.com/documentation/speech/sfspeechrecognizer/supportsondevicerecognition","supportsOnDeviceRecognition","Observed 2026-08-10","A","current official API","observed","high","On-device recognition must be checked per recognizer; unsupported configurations require network recognition.","None; Exa full-text extraction"
"R7-057","Apple on-device speech privacy","https://developer.apple.com/documentation/speech/sfspeechrecognitionrequest/requiresondevicerecognition","requiresOnDeviceRecognition","Observed 2026-08-10","A","current official API","observed","high","The app can require supported speech recognition to remain on device, with a documented accuracy trade-off.","None; Exa full-text extraction"
"R7-058","Apple microphone permission","https://developer.apple.com/documentation/avfaudio/avaudiosession/requestrecordpermission(_:)","requestRecordPermission","Observed 2026-08-10","A","current official API","observed","high","Audio recording requires explicit permission; the system remembers grant or denial and records silence until permission is granted.","None; Exa discovery; full text available in indexed result"
"R7-059","Apple privacy guidance","https://developer.apple.com/design/human-interface-guidelines/privacy","Privacy","Observed 2026-08-10","A","current official guidance","observed","high","Request microphone and personal-data access only when clearly needed, explain the specific use, and disclose privacy practices accurately.","None; Exa discovery; full text available in indexed result"
"R7-060","Google Play user data","https://support.google.com/googleplay/android-developer/answer/10144311","User Data","Observed 2026-08-10","A","current official policy","observed","high","Microphone data is personal and sensitive; collection, transmission, third-party sharing, security, consent, deletion, privacy policy, and Data Safety disclosures must be accurate.","None; Exa discovery; full text available in indexed result"
"R7-061","iOS locked recording implementation risk","https://developer.apple.com/forums/thread/756507","Microphone recording fails when launching app from Shortcut","Observed 2026-08-10","C","current official forum response","described","medium","An Apple forum response says ordinary Shortcut-triggered recording needs the app foreground; newer AudioRecordingIntent exists, but physical-device behavior must still be proven.","None; Exa discovery. Used only as uncertainty evidence, not as the controlling API contract."
"R7-062","revised flow recommendation","","Analyst synthesis — instant voice and AI draft","2026-08-10","D","current inference","inferred","medium","Instant Voice Thread is the recommended default, Context plus Voice is an alternate entry to the same thread model, and Voice Rescue is the fallback. Locked capture and AI grounding remain independent falsification gates.","Derived from R7-001 through R7-061; no external fallback"
