cohort,year,award_family,project,evidence_coverage,P01,P02,P03,P04,P05,P06,P07,P10,P11,S01,S02,S03,S04,S05,S06,S07,S08,notes
winner,2025,Buzziest Launch,ReadHim,high,2,2,2,2,2,2,2,0,2,2,1,2,1,2,2,2,0,"Powerful launch and sharing; relationship-safety claims under-supported"
winner,2025,Buzziest Launch,Shutter Declutter,medium,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,"Thousands active and over 1000 payers reported after one month"
winner,2025,Buzziest Launch,MemoLune,medium,2,2,2,2,2,2,U,1,2,2,2,2,2,2,1,2,1,"Three rebuilds and public launch to 500-plus developers; paid boundary unclear"
winner,2025,HAMM,Vector Guard,high,2,2,2,1,2,2,2,1,1,2,1,2,2,0,1,2,1,"Mechanism and monetization are clear; realized impact metric absent"
winner,2025,HAMM,Napkinmatic AI3D,medium,2,2,2,2,1,2,2,1,0,2,1,1,2,2,2,2,1,"Strong mechanic and coin loop; store timing and platform account conflict"
winner,2025,HAMM,Kigaru Talks,medium,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,"Excellent field learning chain and dated signup and payment evidence"
winner,2025,RevenueCat Peace Prize,Heartbeat Hero,high,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,"Visible behavior-change mechanism; stakes outpace some validation"
winner,2025,RevenueCat Peace Prize,Hearing Buddy,high,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,2,2,"Strong accessibility and privacy behavior; accuracy metrics unknown"
winner,2025,RevenueCat Peace Prize,MoodHaven,high,2,1,1,1,1,2,1,0,1,2,2,1,1,0,0,2,1,"Compassionate presentation but clinical boundaries and recovery are thin"
winner,2025,Best Vibes,Otter Day,medium,2,2,2,2,1,2,U,1,1,2,2,2,1,1,1,2,2,"Distinctive story and interaction; traction is qualitative"
winner,2025,Best Vibes,Dripped,medium,1,1,2,2,0,2,1,0,0,2,2,0,2,1,0,2,0,"Memorable try-on mechanism but over-scoped first version and bias risk"
winner,2025,Best Vibes,MaestLog,medium,2,2,1,2,2,2,1,1,0,2,2,2,2,0,0,2,1,"Focused three-week build; late launch leaves no measured experiment runway"
winner,2025,OneSignal Boost,Cooked This,high,2,2,1,1,2,2,U,1,1,2,2,2,1,0,0,1,1,"Focused utility and notification behavior; monetization evidence missing"
winner,2025,OneSignal Boost,Voicetree,medium,1,1,2,2,1,2,2,2,2,2,2,1,2,2,0,1,2,"Strong audio recovery and revenue; broad audience and weak organic loop"
winner,2025,OneSignal Boost,Friendy+,medium,2,2,1,2,2,2,1,1,1,2,1,2,1,0,0,1,1,"TestFlight evidence caused a target-segment pivot; no traction metric"
winner,2025,OneSignal Boost,Studient,medium,1,1,1,2,0,2,2,2,2,2,2,1,1,0,0,2,2,"Many shipped accessibility and messaging features; scope is crowded"
winner,2025,OneSignal Boost,Camp Notes,medium,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,"Feedback changed onboarding and accounts; first subscriber reported"
winner,2025,Kotlin Multiplatform Reach,Momental,high,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,1,"Strong cross-platform execution and traction; limited built-in sharing"
winner,2025,Kotlin Multiplatform Reach,Posturely,medium,1,1,2,0,0,1,0,1,0,2,2,0,2,0,0,1,1,"Device leverage is strong; forced paywall and prototype wording are conflicts"
winner,2025,Kotlin Multiplatform Reach,Steps Share,medium,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,"250-user beta and reported 22 percent step increase; natural invite loop"
winner,2025,Kotlin Multiplatform Reach,DrawIt,medium,2,2,1,1,2,2,U,1,2,2,1,2,2,0,2,1,1,"Clear multiplayer loop and adaptive layouts; monetization not disclosed"
winner,2025,Kotlin Multiplatform Reach,ClipUGC,medium,2,2,2,2,2,2,U,1,1,2,2,2,2,0,1,2,1,"Fast artifact creation and a shipped renderer pivot; no traction metric"
winner,2025,Staff and Sponsors,Crystal Abyss,high,2,2,1,2,2,2,1,1,1,2,2,2,2,0,0,2,1,"Excellent game craft and iteration; weak distribution and traction evidence"
control,2024,Most Likely to Make Money match,HabitBuds,medium,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,"Plausible business-family match; category entry not publicly confirmed"
control,2025,Build & Grow / Peace Prize match,PCOS Polly,high,1,1,1,1,0,2,0,0,1,2,2,0,1,2,1,2,0,"Strong traction but forced pre-value paywall and sensitive-domain gaps"
control,2025,Buzziest Launch match,Monk,high,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,"Strong launch control demonstrating several winner-like practices"
control,2025,HAMM match,Vega,medium,1,1,1,0,0,1,1,0,0,2,1,0,1,0,0,1,0,"Mechanism and proof are weaker than matched HAMM winner"
control,2024,RevenueCat Design match,FoxyFocus,high,2,2,1,1,2,2,1,2,1,2,1,2,2,0,0,2,2,"Strong visual and trust craft; limited iteration and traction proof"
control,2025,RevenueCat Design match,Mood Dial,high,2,2,2,1,2,2,1,2,1,2,1,2,2,0,1,2,2,"Strong native control; no measured traction"
control,2025,RevenueCat Design match,Challengrs,medium,2,2,1,1,1,2,1,1,1,2,1,1,2,0,1,2,1,"Comparable polish and loop; limited differentiation and metrics"
control,2024,#BuildInPublic match,One Step,low,0,1,0,0,0,1,U,0,0,1,1,0,1,0,0,1,0,"Sparse evidence and inferred event match reduce confidence"
control,2025,#BuildInPublic / OneSignal match,Memory Hammer,high,2,2,2,2,1,2,2,0,2,2,2,1,2,2,0,1,0,"Strong experimentation and traction but coercive trust pattern"
control,2025,#BuildInPublic match,Stupido,high,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,"Strong public iteration control with winner-like evidence"
control,2025,#BuildInPublic match,Rangelert,medium,2,2,2,1,2,1,1,1,1,2,2,2,2,0,0,1,1,"Working-screen evidence is limited despite a focused public story"
control,2024,RevenueCat Design match,Breathe Zen,medium,2,2,1,1,2,2,0,1,1,2,1,2,2,1,0,2,1,"Strong design control; paid cooldown conflicts with core value"
control,2025,RevenueCat Peace Prize match,LockedIn,medium,1,1,1,0,0,1,1,0,0,1,2,0,1,0,1,1,0,"High-stakes promise lacks proportional safeguards and proof"
control,2025,RevenueCat Peace Prize match,CareWatch,high,2,2,2,1,2,2,2,1,1,2,2,2,2,0,1,1,1,"Strong family value and platform leverage; recovery remains incomplete"
control,2025,Kotlin Multiplatform Reach match,Restia,high,2,2,2,2,1,2,2,2,2,2,2,1,2,0,1,1,2,"Strong cross-platform and trust control; some gallery evidence is later"
control,2025,Staff and Sponsors match,Tilt Runner,high,2,2,2,1,2,2,2,1,1,2,1,2,2,0,0,1,1,"Strong game control with clear value and monetization but no traction"
