source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,architecture_use,confidence,fallback_or_limitation
R10-025,https://developer.android.com/guide/topics/ui/accessibility/testing,Test your app's accessibility,Updated 2026-04-16,A,current,observed,official platform documentation,"Android recommends manual TalkBack testing and automated accessibility checks.","Include TalkBack semantics large-text and device testing in must ship.",high,"Automated checks cannot replace user testing."
R10-026,https://developer.android.com/topic/performance/vitals,Android vitals,Published 2026-05-19,A,current,observed,official platform documentation,"Overall bad-behavior thresholds include 1.09% user-perceived crash and 0.47% ANR.","Use Play vitals as launch-quality evidence and minimal crash reporting.",high,"Thresholds are platform policy signals not proof of a delightful product."
R10-027,https://developer.android.com/topic/performance/vitals/launch-time,App startup time,Observed 2026-08-11,A,current,observed,official platform documentation,"Excessive launch thresholds are cold 5 seconds warm 2 seconds and hot 1.5 seconds.","Defer network and heavy initialization from capture launch.",high,"Product capture-start usability is a separate accepted gate."
R10-028,https://developer.android.com/topic/performance/vitals/render,Slow rendering,Observed 2026-08-11,A,current,observed,official platform documentation,"Frame deadlines depend on refresh rate; frozen frames exceed 700 milliseconds.","Keep connector motion interruptible and supply static reduced motion.",high,"Device profiling is still required."
R10-029,https://support.google.com/googleplay/android-developer/answer/11926878,Target API level requirements for Google Play apps,Observed 2026-08-11,A,current,observed,official store policy,"Starting August 31 2026 new apps and updates must target Android 16 API 36 or higher.","Target API 36 from project creation.",high,"Google documents an extension path but the plan does not rely on it."
R10-030,https://support.google.com/googleplay/android-developer/answer/14151465,App testing requirements for new personal developer accounts,Observed 2026-08-11,A,current,observed,official store policy,"Affected new personal accounts need at least 12 testers continuously opted in for 14 days before production-access application; Google may require more testing.","Start a meaningful closed test on August 19 and keep Galaxy parallel.",high,"Account applicability and tester engagement definition are unresolved; Firecrawl live cross-check agreed."
R10-031,https://support.google.com/googleplay/android-developer/answer/9900533,Subscriptions,Observed 2026-08-11,A,current,observed,official store policy,"Subscriptions require sustained recurring value clear localized terms actual billing and cancellation information and a visible free path when one exists.","Keep cloud value recurring and paywall dismissible after value.",high,"Living policy must be rechecked before submission."
R10-032,https://developer.samsung.com/galaxy-store/prepare.html,Get Started in Galaxy Store,Observed 2026-08-11,A,current,observed,official store documentation,"Galaxy distribution requires a Samsung account Seller Portal registration and commercial seller status for free or paid apps.","Treat Galaxy account status as an external critical-path gate.",high,"Builder has not confirmed an account or approval."
R10-033,https://developer.samsung.com/galaxy-store/galaxy-store-developer-api/get-started-with-the-gsd-api.html,Get Started with the Galaxy Store Developer API,Observed 2026-08-11,A,current,observed,official store documentation,"Apps must first be registered in Seller Portal; API use requires a service account JWT and access token.","Do not defer store and service-account setup until feature completion.",high,"Exa full fetch and Firecrawl forced-live query agreed."
R10-034,https://developer.samsung.com/galaxy-store/distribution-guide.html,Galaxy Store App Distribution Guide,Observed 2026-08-11,A,current,observed,official store policy,"Apps that access or transmit user data need an in-app privacy policy and Seller Portal URL covering collection purpose sharing retention deletion and rights.","Make privacy policy and Galaxy Data Safety must ship.",high,"Country-specific review can add requirements."
R10-035,https://developer.samsung.com/galaxy-store/launch.html,Register Your App in Seller Portal,Observed 2026-08-11,A,current,observed,official store documentation,"Seller Portal collects Data Safety information and reviewer comments; apps requiring login need a review account.","Use no-account first value and provide complete reviewer instructions.",high,"Reviewer behavior and timing are external."
R10-036,https://supabase.com/docs/guides/functions/limits,Supabase Edge Function Limits,Observed 2026-08-11,A,current,observed,official documentation,"Hosted free functions have 256 MB memory a 150-second wall-clock limit a 2-second CPU limit and a 150-second idle-response timeout.","Keep the request bounded and preserve a local fallback rather than invent a latency promise.",high,"Real cold-start and provider behavior are unmeasured."
R10-037,https://supabase.com/docs/guides/functions/secrets,Supabase Edge Function Environment Variables,Published 2026-03-30,A,current,observed,official documentation,"Secret and service-role keys belong in Edge Functions and bypass row-level security; they must never ship in a browser or app.","Keep provider store and webhook secrets server-side.",high,"Operational access control still needs configuration."
R10-038,https://supabase.com/pricing,Supabase Pricing,Observed 2026-08-11,A,current,observed,official pricing,"Free currently includes two active projects 500 MB database 5 GB egress and 50000 monthly active users.","Use development and production projects within the current early free tier.",high,"Pricing and inactivity policy can change."
R10-039,https://platform.openai.com/docs/guides/your-data,Data controls in the OpenAI platform,Observed 2026-08-11,A,current,observed,official documentation,"API data is not used for training unless opted in; default abuse-monitoring logs can contain customer content and be retained up to 30 days; approved controls can differ.","Disclose actual provider retention and avoid persistent API features.",high,"Provider is proposed for the spike not finally selected."
R10-040,https://openai.com/api/pricing/,OpenAI API Pricing,Observed 2026-08-11,A,current,observed,official pricing,"Run 9 observed GPT Transcribe at US$0.0045 per minute and low short-context generation prices.","Instrument actual cost per successful draft rather than assume margin.",high,"Price does not prove accuracy latency retries privacy or support cost."
R10-041,https://documentation.onesignal.com/docs/en/prompt-for-push-permissions,Prompt for push permissions,Observed 2026-08-11,A,current,observed,official documentation,"OneSignal recommends explaining value and prompting after a value moment rather than first launch.","Keep notification permission conditional and post-value.",high,"Vendor conversion examples are not independent evidence."
R10-042,https://documentation.onesignal.com/reference/create-message,Sending messages with the OneSignal API,Observed 2026-08-11,A,current,observed,official documentation,"The API can target a user alias and schedule future delivery.","Schedule only one requested restart reminder from the server.",high,"Provider acceptance does not prove device delivery."
R10-043,https://documentation.onesignal.com/reference/cancel-message,Cancel message,Observed 2026-08-11,A,current,observed,official documentation,"A stored message ID can cancel a scheduled message but cancellation may race an active send.","Cancel on every suppressing transition and make stale deep links safe.",high,"Race behavior requires integration testing."
R10-044,https://www.revenuecat.com/pricing,RevenueCat Pricing,Observed 2026-08-11,A,current,observed,official pricing,"RevenueCat Pro is currently free through US$2500 monthly tracked revenue and then charges its published rate.","Fits early operation while preserving one purchase system.",high,"Pricing can change and tracked revenue is a vendor-defined measure."
R10-045,https://onesignal.com/pricing,OneSignal Pricing,Observed 2026-08-11,A,current,observed,official pricing,"The current free tier supports unlimited mobile push with bounded Journey and in-app-message features.","The single conditional reminder can begin without another paid plan.",high,"Server-side suppression is still necessary and features can change."
R10-046,https://firebase.google.com/docs/crashlytics/android/get-started,Get started with Crashlytics for Android,Observed 2026-08-11,A,current,observed,official documentation,"Firebase Crashlytics reports Android crashes non-fatal errors and ANRs and requires a forced test crash to verify setup.","Use it as the opted-in cross-flavor crash path while Play vitals remains available for Play.",high,"Do not add the optional Analytics dependency or breadcrumb collection."
R10-047,https://firebase.google.com/docs/crashlytics/android/customize-crash-reports,Customize crash reports for Android,Observed 2026-08-11,A,current,observed,official documentation,"Crashlytics collects automatically by default but supports disabling automatic collection and user opt-in; custom logs keys and user IDs can add data.","Disable automatic collection until diagnostics opt-in and ban content logs keys and user IDs.",high,"Opt-in reduces report coverage and must be measured."
R10-048,https://firebase.google.com/pricing,Firebase Pricing,Observed 2026-08-11,A,current,observed,official pricing,"Firebase currently lists Crashlytics as no-cost.","Add minimal cross-store crash reporting without a paid service assumption.",high,"Pricing and terms can change."
