event,trigger,required_properties,forbidden_properties,metric_or_panel,hypothesis,decision
draft_requested,"Grounded recovery generation begins","provider; model; input_token_count; retry_number","transcript; drafted_action; free_text",Reliability and cost,"Generation is invoked only when needed","Adjust model and prompt"
recovery_draft_ready,"Grounded draft and evidence map commit","provider; model; latency_bucket; input_tokens; output_tokens; estimated_cost_usd; evidence_coverage_bucket","transcript; drafted_action; free_text",Value funnel and cost,"The system returns an inspectable draft","Fix provider prompt or evidence mapping"
recovery_draft_failed,"Generation reaches recoverable or terminal failure","provider; error_class; retry_number","transcript; drafted_action; free_text",Reliability,"Deterministic recovery prevents dead ends","Fix retry and fallback"
recovery_draft_opened,"User views the ready draft","entry_surface; time_since_ready_bucket; platform","transcript; drafted_action; free_text",Activation,"The ready state re-engages without exposing content","Improve status and deep link"
evidence_trace_opened,"User opens Direct Trace-back Connector","source_count_bucket; platform; reduced_motion","transcript; drafted_action; free_text",Design and trust,"Provenance is understandable without blocking action","Revise hierarchy or connector"
first_action_edited,"User changes proposed first action","edit_extent_bucket; source_trace_opened; platform","before_text; after_text; transcript",Activation and model quality,"Human correction improves action fit","Revise prompt and controls"
first_action_confirmed,"User explicitly confirms proposed or edited action","was_edited; source_trace_opened; confidence_bucket","action_text; transcript; free_text",Activation,"Human confirmation protects agency","Fix confidence and confirmation"
verified_restart_started,"A confirmed or edited action transitions to active after the user taps Start","seconds_since_draft_open; seconds_since_intent; seconds_since_first_verified_start; input_mode; platform; thread_ordinal; action_ordinal; restart_ordinal; relationship_to_activation_thread","action_text; transcript; free_text; thread_title",Activation and retention,"One verified action is the meaningful value moment and later verified starts reveal continuity or recurrence","Fix draft review before growth or paywall and distinguish same-thread progress from a distinct recovery"
verified_restart_completed,"An active confirmed action transitions to complete","seconds_since_start_bucket; seconds_since_first_verified_start; platform; thread_ordinal; action_ordinal; relationship_to_activation_thread","action_text; transcript; free_text; thread_title",Retention,"Saved context supports meaningful follow-through without counting an app open","Improve same-thread continuity and compute D1 or D7 meaningful return"
thread_deleted,"User deletes a thread and local or cloud content is removed","thread_state; deletion_scope; platform","audio; transcript; action_text; free_text",Privacy and suppression,"Deletion is controllable and suppresses messages","Fix deletion and notification cleanup"
thread_exported,"User exports owned thread data","format; thread_state; platform","export_content; transcript; action_text",Trust,"Portability reduces lock-in","Improve export accessibility"
paywall_viewed,"Post-value or allowance-boundary paywall is visible","placement; offering_id; package_ids; store; country; currency; platform","transcript; action_text; free_text",Monetization,"A clear proportional offer can convert after value","Compare placement package and copy"
paywall_dismissed,"User closes paywall","placement; offering_id; platform","transcript; action_text; free_text",Monetization and fairness,"Dismiss remains legible and preserves free flow","Fix pressure or boundary"
checkout_started,"Store purchase sheet is invoked","placement; offering_id; package_id; product_id; store; localized_price; currency","transcript; action_text; payment_data",Monetization,"Store configuration resolves correct offer","Fix offer mapping and store setup"
trial_started,"Store or RevenueCat confirms an eligible introductory trial","placement; offering_id; package_id; product_id; store; trial_duration; platform","payment_data; transcript; action_text",Monetization,"A later controlled trial helps qualified users experience recurring value","Not applicable to M1 launch; compare only in an approved M2 experiment"
purchase_result,"Store purchase resolves","result; error_class; package_id; product_id; store; platform","payment_data; transcript; action_text",Monetization and reliability,"Purchase succeeds and cancellation is harmless","Fix billing and recovery"
entitlement_changed,"RevenueCat customer info changes pro state","prior_state; new_state; reason; store; product_id","transcript; action_text; payment_data",Monetization lifecycle,"Access follows verified entitlement state","Fix lifecycle handling"
restore_requested,"User taps Restore purchases","surface; store; platform","payment_data; transcript; action_text",Monetization lifecycle,"Users can recover purchases intentionally","Fix discoverability and errors"
restore_result,"Restore resolves","result; entitlement_state; error_class; store","payment_data; transcript; action_text",Monetization lifecycle,"Restore returns correct access without automatic prompts","Fix identity or store mapping"
billing_issue_observed,"RevenueCat or store reports billing issue","store; product_id; grace_known; platform","payment_data; transcript; action_text",Monetization lifecycle,"Issue messaging preserves current recovery and access rules","Fix entitlement and management link"
subscription_manage_opened,"User opens store or supported Customer Center management","source_surface; store; entitlement_state","payment_data; transcript; action_text",Monetization lifecycle,"Cancellation and management are easy to find","Fix compliance and support"
subscription_cancelled,"Cancellation event is received","store; product_id; effective_end_bucket; reason_if_user_supplied","payment_data; transcript; action_text; free_text_reason",Paid retention,"The promise and recurring value remain aligned","Fix product mismatch before win-back"
subscription_refunded,"Refund or revoke event is received","store; product_id; event_type","payment_data; transcript; action_text",Paid retention,"Refunds expose promise or quality failures","Investigate without penalizing user"
subscription_renewed,"Renewal event activates or extends pro","store; product_id; renewal_number","payment_data; transcript; action_text",Paid retention and revenue,"Recurring value survives first renewal","Change product or retention if weak"
subscription_expired,"Pro entitlement becomes inactive","store; product_id; prior_state","payment_data; transcript; action_text",Monetization lifecycle,"Expiry keeps owned data and free recovery intact","Fix respectful downgrade"
push_soft_prompt_viewed,"Post-value OneSignal soft prompt is visible","trigger_event; platform; experiment_id","transcript; action_text; free_text",OneSignal funnel,"The reminder value is explained at the right moment","Revise timing and copy"
push_soft_prompt_result,"User chooses allow later or no thanks","result; trigger_event; platform; experiment_id","transcript; action_text; free_text",OneSignal funnel,"Users can decline without losing value","Keep optional or revise rationale"
push_permission_result,"System notification permission resolves","result; platform; prior_soft_prompt","transcript; action_text; free_text",OneSignal funnel,"Explicit reminder intent converts to permission","Fix system-prompt timing"
recovery_reminder_scheduled,"User requests one reminder for a confirmed action","delay_bucket; platform; onesignal_journey_id","action_text; transcript; free_text",Retention,"User-requested timing can support same-thread return","Keep only if it produces verified starts"
recovery_reminder_suppressed,"Backend cancels an eligible reminder","reason; platform; journey_id","action_text; transcript; free_text",Retention and safety,"Suppression prevents stale or excessive messages","Fix state synchronization"
recovery_push_scheduled,"OneSignal accepts a user-requested future reminder","message_variant_id; message_id_present; scheduled_delay_bucket; platform","notification_text; transcript; action_text",OneSignal diagnostics,"A one-time campaign can be scheduled and later suppressed","Store the message ID and verify current thread state"
recovery_push_cancel_result,"Backend cancels a scheduled OneSignal reminder","result; reason; message_id_present; platform","notification_text; transcript; action_text",OneSignal diagnostics,"Started completed replaced or deleted work does not receive a stale reminder","Fix suppression and stale-link recovery"
recovery_push_sent,"OneSignal begins a generic reminder send","message_type; message_variant_id; platform","notification_text; transcript; action_text",OneSignal diagnostics,"Delivery infrastructure works","Do not treat send as value"
recovery_push_opened,"User opens a generic recovery push","message_type; message_variant_id; platform","transcript; action_text; free_text",OneSignal diagnostics,"Deep link can return to the intended private thread","Fix link resolution; do not raise frequency"
recovery_deep_link_resolved,"App opens exact private thread from push or share","source; platform; target_state","thread_id; transcript; action_text",Retention,"Return preserves context","Fix routing and recovery"
restart_card_previewed,"User opens sanitized card preview after verified start","template_id; platform","transcript; action_text; source; location; health_data",Growth experiment,"A finite private-by-default artifact feels safe to consider","Remove if it creates discomfort"
restart_card_shared,"User explicitly completes sanitized share","channel_class; template_id; referral_token_present","recipient; transcript; action_text; source; location; health_data",Growth experiment,"A value artifact can distribute the product","Build only if recipients activate"
referral_landing_viewed,"Recipient opens tagged landing page","experiment_id; message_variant; platform; referral_source","recipient_identity; transcript; action_text",Growth,"Share or content reaches qualified visitors","Compare messages not impressions"
waitlist_completed,"Visitor completes consented waitlist signup","experiment_id; message_variant; platform; scenario_category","email_in_event_payload; transcript; action_text",Growth,"Acquisition promise attracts intended users","Choose promise and channel"
galaxy_purchase_test_result,"Physical Galaxy store test resolves","billing_mode; result; product_id; app_version; device_model; fold_state","payment_data; transcript; action_text",Galaxy proof,"Galaxy billing flavor is release-ready","Block Galaxy claim until fixed"
galaxy_window_state_changed,"Recovery flow crosses fold unfold or multi-window state","prior_state; new_state; screen; app_version","transcript; action_text; free_text",Galaxy diagnostics,"Continuity survives device posture","Fix continuity before store claim"
