source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,transferable_principle,confidence,fallback_or_limitation
R9-042,https://documentation.onesignal.com/reference/cancel-message,Cancel Message,Observed 2026-08-11,A,current,observed,official documentation,"A stored OneSignal message ID can cancel a scheduled message but cancellation may not stop one already being sent.","Cancel stale reminders and make stale deep links safe even when cancellation races delivery.",high,"Exa fetched full text; device and race behavior needs integration testing."
R9-026,https://developer.samsung.com/iap/supported-management-platforms.html,Supported IAP Management Platforms,Observed 2026-08-11,A,current,observed,official Samsung documentation,"Samsung lists native RevenueCat Galaxy support for Android 10.7.0+ and React Native 10.3.0+.","Do not claim current Capacitor support from general RevenueCat marketing.",high,"Exa fetched full text."
R9-027,https://developer.samsung.com/galaxy-store/prepare.html,Get Started in Galaxy Store,Observed 2026-08-11,A,current,observed,official Samsung documentation,"Distribution requires Samsung account Seller Portal registration and commercial seller status; some verification can take up to ten business days.","Start account and commercial setup before feature completion.",high,"Exa fetched full text; builder has not confirmed a Samsung account."
R9-028,https://developer.samsung.com/galaxy-store/distribution-guide.html,Galaxy Store App Distribution Guide,Observed 2026-08-11,A,current,observed,official Samsung policy,"Apps must pass publication requirements; in-app purchases and ads must be accurately represented in listing assets and descriptions.","Make the store listing show the actual paid boundary and proven Galaxy value.",high,"Exa fetched full text; local country requirements may differ."
R9-029,https://developer.samsung.com/iap/subscription-guide/grace-period.html,Samsung IAP Grace Period,Observed 2026-08-11,A,current,observed,official Samsung documentation,"Galaxy applies a mandatory 24-hour silent grace period and offers seller-defined 3 7 14 or 30-day extensions subject to the billing cycle.","Read live store state and keep access during grace instead of hardcoding expiry.",high,"Exa fetched full text; exact seller-defined duration remains an owner and operations choice."
R9-030,https://developer.samsung.com/iap/subscription-guide/manage-subscriptions.html,Manage Samsung Subscriptions,Observed 2026-08-11,A,current,observed,official Samsung documentation,"Samsung documents purchase IDs status checks emails cancellation resubscription and deep links to subscription management.","Provide a store-specific manage and recovery path.",high,"Exa fetched full text; no implementation test."
R9-031,https://support.google.com/googleplay/android-developer/answer/9900533?hl=en,Google Play Subscriptions Policy,Observed 2026-08-11,A,current,observed,official policy,"Subscriptions require sustained recurring value clear localized terms visible actual billing and cancellation routes and a clear dismiss path when free access exists.","Make the offer proportional legible dismissible and manageable.",high,"Exa fetched full text; policy is living and must be rechecked before submission."
R9-032,https://developer.apple.com/app-store/review/guidelines/,Apple App Review Guidelines,Observed 2026-08-11,A,current,observed,official policy,"Apple requires accurate metadata review access and explanations of non-obvious in-app purchases and third-party SDK behavior.","Provide review notes and a complete observable purchase path on the secondary platform.",high,"Exa fetched full text; the relevant subscription clauses need rechecking at submission."
R9-033,https://openai.com/api/pricing/,OpenAI API Pricing,Observed 2026-08-11,A,current,observed,official pricing,"GPT Transcribe is $0.0045 per minute; GPT-5.6 Luna is $0.20 per million input tokens and $1.20 per million output tokens at standard short-context rates.","Bound the voice call and instrument actual provider cost per successful draft.",high,"Exa fetched full text; price does not prove quality latency privacy or retries."
R9-034,../Run-7/voice-ai-revision.md,Run 7 Voice and AI Revision,Current local artifact,A,selected product specification,observed,prior accepted research,"The selected flow saves locally before asynchronous AI uses a maximum 60-second voice thread and requires confirmation before action.","Tie billing to cloud value without weakening local durability or human control.",high,"Selected design requirements remain unimplemented."
R9-035,../Run-8/report.md,Run 8 Visual System Report,Current local artifact,A,selected design specification,observed,prior accepted research,"The builder selected H2 Forward Thread and I2-V1 Direct Trace-back Connector with RevenueCat Design primary.","Use the same visual grammar for paywall and lifecycle feedback rather than adding a sales identity.",high,"Visual hypotheses remain untested."
R9-036,../Run-3/report.md,Run 3 Pattern Synthesis,Current local artifact,A,historical synthesis,measured,prior corpus analysis,"Strong feedback-to-result chains and judge-observable proof show larger winner-control quality gaps than nominal visual-signature presence.","Demonstrate purchase entitlement restore and expiry as a complete observable chain.",medium-high,"Historical public evidence is not causal judge data."
R9-037,https://apps.apple.com/us/app/aidd/id6747835121,AiDD US App Store listing,Exa indexed 2026-08-11; Firecrawl live 404,C,current conflict,unknown,store listing,"Exa returned $4.99 monthly and $49.99 annual while Firecrawl's forced-live request returned 404.","Exclude conflicted current listings from decisive pricing calculations.",low,"Recorded Exa-Firecrawl contradiction; not used as a primary price anchor."
R9-038,analyst://run-9-price-anchor,Restart Thread price-anchor calculation,Calculated 2026-08-11,D,current synthesis,calculated,analyst calculation,"The eight exact audited monthly prices have a median near $7; $39.99 matches Llama Life and Composed but is below the broader annual median; $4.99 and $39.99 are test hypotheses.","Test below the monthly median for a narrow unvalidated product and never present it as willingness to pay.",medium,"Product set and treatment of localized or temporary prices affect the result."
R9-039,analyst://run-9-unit-cost,Illustrative Restart Thread inference cost,Calculated 2026-08-11,D,current synthesis,calculated,analyst calculation,"At official prices a 60-second transcript plus illustrative 600 Luna input and 250 output tokens costs about $0.00492 before other costs.","Track actual cost per successful verified restart and do not promise unlimited use prematurely.",medium,"Token counts model choice retries storage moderation taxes and support are assumptions."
R9-040,analyst://run-9-metrics,Restart Thread metric model,Calculated 2026-08-11,D,current synthesis,inferred,analyst synthesis,"Verified action start and second distinct recovery represent product value better than sends opens app sessions or streaks.","Pair every metric with a product decision and preserve intermittent use.",medium,"Requires user and production evidence; D7 may undercount less-frequent users."
R9-043,../Run-6/report.md,Run 6 Concept Red Team,Current local artifact,A,prior synthesis,inferred,prior accepted research,"Wordle Spotify Wrapped and Strava supported a compact finite explicit-share privacy pattern while public-by-default sensitive cards were rejected.","Test a sanitized optional Restart Card without exposing the private thread or adding a social economy.",medium,"Transfer is inferred and the Restart Card itself has no user evidence."
R9-044,https://www.revenuecat.com/docs/dashboard-and-metrics/customer-profile,RevenueCat Customer Profile and Granted Entitlements,Observed 2026-08-11,A,current,observed,official vendor documentation,"Granted Entitlements provide time-limited premium access without purchase; they expire automatically, do not affect billing, do not stack on store subscriptions, and can be granted through the REST API.","Use the existing pro entitlement for a temporary reward instead of adding a visible consumable-credit economy.",high,"Exa discovered and extracted the page; Firecrawl forced-live extraction confirmed it. Active-subscriber fairness remains unresolved."
R9-045,https://developer.apple.com/app-store/review/guidelines/,Apple App Review Guidelines,Updated 2026-06-08; observed 2026-08-11,A,current,observed,official policy,"Apple prohibits forcing store-related actions to access functionality and prohibits manipulating App Store discovery including referrals; it otherwise permits incentives for specific in-app actions.","Base any referral reward on a genuine in-app value event rather than an install rating review or share, and disclose the behavior to review.",high,"Exa discovery and Firecrawl forced-live extraction agreed. The broad referral language leaves App Review interpretation risk."
R9-046,https://support.google.com/googleplay/android-developer/answer/9898684?hl=en,Google Play User Ratings Reviews and Installs,Observed 2026-08-11,A,current,observed,official policy,"Google prohibits manipulation of ratings reviews and install counts including incentivized feedback and install manipulation.","Never exchange referral access for a rating or review and do not make installation the qualifying value event.",high,"Exa discovery and Firecrawl forced-live extraction agreed. The policy is living and must be rechecked before submission."
R9-047,analyst://run-9-referral-reward,Conditional Restart Thread referral-reward synthesis,Calculated 2026-08-11,D,current synthesis,inferred,analyst synthesis,"A two-sided temporary pro reward may fit after G3 proves recipient verified starts but adds identity attribution abuse support and active-subscriber fairness work.","Keep it out of the MVP; if G3 succeeds test server-verified temporary access after recipient first value and derive duration from recurrence cost and abuse evidence.",medium,"No referral experiment user research policy review outcome or paid-subscriber reward path exists."
R9-048,analyst://run-9-metric-coverage,Restart Thread activation and retention coverage model,Selected 2026-08-11,D,current decision,described,builder selection and analyst synthesis,"The builder selected A1 and A2 for activation and R1 R3 and R4 for retention; R2 remains derivable as D7 distinct restart or later verified same-thread progress.","Keep one primary metric per decision while retaining diagnostics and a decomposed union metric so no pipeline stage or D2-D7 continuity is hidden.",high,"Metric definitions are selected instrumentation plans rather than evidence that the product retains users."
