direction_id,direction,mode,pair,foreground,foreground_oklch,background,background_oklch,contrast_ratio,requirement,result,note
A4,Editorial Relay,Light,Primary text on surface,#111111,"oklch(0.178 0.000 89.9)",#FAFAF7,"oklch(0.984 0.004 106.5)",18.06,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A4,Editorial Relay,Light,Secondary text on surface,#545454,"oklch(0.446 0.000 89.9)",#FAFAF7,"oklch(0.984 0.004 106.5)",7.24,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A4,Editorial Relay,Light,Action or focus on surface,#A91D3A,"oklch(0.480 0.173 16.3)",#FAFAF7,"oklch(0.984 0.004 106.5)",6.87,"WCAG 2.2 non-text contrast: 3:1",Pass,"Red action role is not an error role; labels and icons disambiguate"
A4,Editorial Relay,Light,On-action text on action,#FFFFFF,"oklch(1.000 0.000 89.9)",#A91D3A,"oklch(0.480 0.173 16.3)",7.18,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A4,Editorial Relay,Dark,Primary text on surface,#F7F7F2,"oklch(0.975 0.007 106.5)",#0D0D0D,"oklch(0.159 0.000 89.9)",18.09,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A4,Editorial Relay,Dark,Secondary text on surface,#BDBDB5,"oklch(0.796 0.011 106.6)",#0D0D0D,"oklch(0.159 0.000 89.9)",10.28,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A4,Editorial Relay,Dark,Action or focus on surface,#FF8298,"oklch(0.753 0.153 10.3)",#0D0D0D,"oklch(0.159 0.000 89.9)",8.24,"WCAG 2.2 non-text contrast: 3:1",Pass,"Red action role is not an error role; labels and icons disambiguate"
A4,Editorial Relay,Dark,On-action text on action,#3A0612,"oklch(0.231 0.080 13.1)",#FF8298,"oklch(0.753 0.153 10.3)",7.33,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Light,Primary text on surface,#0B1F25,"oklch(0.226 0.028 219.8)",#EFF8FA,"oklch(0.973 0.010 212.5)",15.75,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Light,Secondary text on surface,#496067,"oklch(0.473 0.030 218.4)",#EFF8FA,"oklch(0.973 0.010 212.5)",6.18,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Light,Action or focus on surface,#006C75,"oklch(0.485 0.083 204.9)",#EFF8FA,"oklch(0.973 0.010 212.5)",5.73,"WCAG 2.2 non-text contrast: 3:1",Pass,"Beacon state also uses geometry icon and text"
A5,Night Beacon,Light,On-action text on action,#FFFFFF,"oklch(1.000 0.000 89.9)",#006C75,"oklch(0.485 0.083 204.9)",6.17,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Dark,Primary text on surface,#F1FBFF,"oklch(0.982 0.012 223.5)",#07151B,"oklch(0.186 0.023 227.3)",17.65,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Dark,Secondary text on surface,#B4C7CF,"oklch(0.818 0.024 224.9)",#07151B,"oklch(0.186 0.023 227.3)",10.61,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A5,Night Beacon,Dark,Action or focus on surface,#6ADFE4,"oklch(0.838 0.106 199.1)",#07151B,"oklch(0.186 0.023 227.3)",11.74,"WCAG 2.2 non-text contrast: 3:1",Pass,"Beacon state also uses geometry icon and text"
A5,Night Beacon,Dark,On-action text on action,#032C31,"oklch(0.269 0.044 207.2)",#6ADFE4,"oklch(0.838 0.106 199.1)",9.43,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
